,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
220,Jamie Mullarkey,Fares Ziam,2020-10-17,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,190.5,155.0,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,187.96,155.0,23.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
244,Luigi Vendramini,Jessin Ayari,2020-10-03,900.0,9,0,1,0,1,1,2,0,0,1,0,0,0,0,182.88,185.42,155.0,380.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,172.72,185.42,170.0,28.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
250,Brad Riddell,Alex Da Silva,2020-09-26,695.0,5,0,0,1,1,1,1,0,0,0,1,0,0,0,172.72,185.42,155.0,900.0,6,0,2,0,2,2,0,0,0,1,1,0,0,0,170.18,180.34,155.0,24.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
270,Bobby Green,Alan Patrick,2020-09-12,834.65625,18,0,2,0,3,5,2,0,0,0,4,1,0,0,180.34,187.96,155.0,896.988037109375,35,0,4,0,4,7,6,0,0,1,4,1,1,0,177.8,180.34,155.0,37.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
277,Ottman Azaitar,Khama Worthy,2020-09-12,514.0,4,0,2,0,2,2,0,0,0,0,0,1,1,0,180.34,187.96,155.0,213.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,172.72,180.34,155.0,33.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
305,Austin Hubbard,Joe Solecki,2020-08-22,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,175.26,177.8,155.0,750.0,11,0,0,1,1,2,2,0,0,0,1,0,0,1,177.8,180.34,155.0,26.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
315,Jim Miller,Vinc Pichel,2020-08-15,756.859375,16,0,0,1,4,5,2,0,0,0,4,1,0,0,177.8,182.88,155.0,325.0623576051439,77,0,2,0,7,21,14,0,0,2,6,3,10,0,172.72,180.34,155.0,37.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
324,Beneil Dariush,Scott Holtzman,2020-08-08,819.8515625,29,0,1,0,3,7,3,0,0,0,4,1,1,1,175.26,175.26,155.0,363.95155334472656,35,0,1,0,5,12,5,0,0,1,4,2,5,0,177.8,182.88,155.0,36.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
338,Lando Vannata,Bobby Green,2020-08-01,893.97607421875,32,0,4,0,4,6,6,0,0,1,3,1,1,0,177.8,180.34,155.0,819.4609375,22,0,0,1,1,3,6,0,0,0,1,1,1,0,175.26,180.34,155.0,33.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
354,Joe Duffy,Joel Alvarez,2020-07-18,671.0,5,0,0,1,1,1,1,0,0,0,0,1,0,0,190.5,195.58,155.0,746.5,14,0,2,0,2,4,3,0,0,0,1,1,2,0,177.8,185.42,155.0,26.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
356,Marc Diakiese,Rafael Fiziev,2020-07-18,493.0,4,0,0,1,1,1,1,0,0,0,1,0,0,0,172.72,180.34,155.0,867.78125,21,0,3,0,3,5,3,0,0,0,3,2,0,0,177.8,185.42,155.0,27.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
365,Davi Ramos,Arman Tsarukyan,2020-07-18,900.0,6,0,0,1,1,1,1,0,0,0,1,0,0,0,170.18,182.88,155.0,754.0,14,0,0,1,4,4,2,0,0,0,1,0,3,0,167.64,177.8,155.0,23.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
390,Luis Pena,Khama Worthy,2020-06-27,255.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,180.34,187.96,155.0,850.25,16,0,1,0,2,4,2,0,0,0,2,1,1,0,190.5,190.5,155.0,33.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
