fightID,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,B_Country_Argentina,B_Country_Australia,B_Country_Austria,B_Country_Brazil,B_Country_Canada,B_Country_China,B_Country_Denmark,B_Country_Iceland,B_Country_Jamaica,B_Country_Japan,B_Country_Nigeria,B_Country_Northern Ireland,B_Country_Norway,B_Country_Palestine,B_Country_Russia,B_Country_Tunisia,B_Country_USA,B_Country_brazil,B_Country_england ,B_Country_poland,B_Country_sweden,R_Country_Afghanistan,R_Country_Argentina,R_Country_Australia,R_Country_Austria,R_Country_Brazil,R_Country_China,R_Country_Denmark,R_Country_Germany,R_Country_Ghana,R_Country_Iceland,R_Country_New Zealand,R_Country_Nigeria,R_Country_Palestine,R_Country_Russia,R_Country_USA,R_Country_brazil,R_Country_canada,R_Country_england ,R_Country_ireland
11,0.6350446375220018,32,0,1,0,4,9,4,0,0,1,2,6,0,0,0.5714285714285712,0.09999999999999963,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5377804877881861,25,0,0,1,7,9,2,0,0,0,4,5,0,0,0.5714285714285712,0.2999999999999998,0.5,32,34,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.2090543756562098,9,0,5,0,5,5,0,0,0,0,1,3,1,0,0.4285714285714288,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.590424405087059,43,2,1,0,7,10,5,0,0,0,5,5,0,0,0.5714285714285712,0.5,0.5,30,37,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0.4524275380646973,26,0,2,0,3,7,4,0,0,1,4,1,1,0,0.4285714285714288,0.20000000000000015,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.4457619849068211,48,4,0,1,5,10,9,0,0,1,2,3,4,0,0.2857142857142865,0.20000000000000015,0.0,30,33,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0.0011211854783796731,2,0,2,0,2,2,0,0,0,0,0,2,0,0,0.5714285714285712,0.7000000000000011,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.4646243720225496,10,0,1,0,1,2,2,0,0,0,0,1,1,0,0.7142857142857135,0.2999999999999998,0.5,26,27,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.20200025035473768,6,0,1,0,1,2,1,0,0,0,0,2,0,0,0.2857142857142865,0.2999999999999998,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17587098220972874,4,0,2,0,2,2,0,0,0,0,0,2,0,0,0.8571428571428577,0.4000000000000004,0.5,30,28,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0.4624525578493418,48,0,2,0,4,12,10,0,0,1,4,5,2,0,0.8571428571428577,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3983975819024568,30,0,2,0,2,7,6,0,0,1,2,4,0,0,0.2857142857142865,0.09999999999999963,0.5,36,29,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0.3789606916923293,16,0,1,0,1,2,4,0,0,1,1,0,0,0,0.4285714285714288,0.4000000000000004,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.20741306054082134,6,0,3,0,3,3,0,0,0,0,1,1,1,0,0.7142857142857135,0.4000000000000004,0.5,36,33,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0.12108803166500465,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8571428571428577,0.8000000000000007,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.16025526388444916,23,0,2,0,3,6,4,0,0,1,3,1,1,0,0.4285714285714288,0.20000000000000015,0.5,25,30,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0.5714285714285712,0.7000000000000011,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2907367174654578,10,0,1,0,3,4,2,0,0,0,0,4,0,0,0.2857142857142865,0.2999999999999998,0.5,26,35,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.015696596697315414,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.2857142857142865,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5714285714285712,0.2999999999999998,0.5,33,36,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
