,R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,B_Country,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_Country,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan
163,Mike Perry,Tim Means,11/21/2020,0,645.701232,48,0,2,0,4,12,10,0,0,1,4,5,2,0,187.96,190.5,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,676.0151367,30,0,2,0,2,7,6,0,0,1,2,4,0,0,177.8,180.34,170,36,29,0,1,0,0,1,0,0,0
165,Daniel Rodriguez,Nicolas Dalby,11/21/2020,0,534,16,0,1,0,1,2,4,0,0,1,1,0,0,0,180.34,187.96,170,0,0,0,0,0,1,0,Denmark,0,0,0,0,0,1,0,USA,426.25,6,0,3,0,3,3,0,0,0,0,1,1,1,0,185.42,187.96,170,36,33,1,0,0,0,1,0,0,0
173,Alex Morono,Rhys McKee,11/14/2020,2,189,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,198.12,170,0,0,0,0,0,1,0,Northern Ireland,0,1,0,0,0,0,0,USA,364.578125,23,0,2,0,3,6,4,0,0,1,3,1,1,0,180.34,182.88,170,25,30,1,0,0,0,1,0,0,0
174,Abdul Razak Alhassan,Khaos Williams,11/14/2020,0,27,1,0,1,0,1,1,0,0,0,0,0,1,0,0,182.88,195.58,170,0,0,0,0,0,1,0,USA,1,0,0,0,0,0,0,Ghana,535.21875,10,0,1,0,3,4,2,0,0,0,0,4,0,0,177.8,185.42,170,26,35,1,0,0,0,0,1,0,0
196,Cole Williams,Jason Witt,10/31/2020,0,48,1,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170,0,0,0,0,0,1,0,USA,0,0,0,0,0,1,0,USA,155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,185.42,170,33,36,0,1,0,0,0,0,1,0
216,Claudio Silva,James Krause,10/17/2020,0,825.9790039,29,0,1,0,6,8,4,0,0,0,3,3,2,0,187.96,185.42,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,brazil,413.125,11,0,5,0,5,5,0,0,0,1,1,0,3,0,180.34,180.34,170,34,38,1,0,0,0,1,0,0,0
234,Carlos Condit,Court McGee,10/3/2020,2,894.942688,45,1,3,0,3,8,8,0,0,1,5,0,2,0,180.34,190.5,170,0,1,0,0,0,0,0,USA,1,1,0,0,0,0,0,USA,489.1483765,45,3,0,1,5,7,9,0,0,1,1,4,0,1,187.96,190.5,170,35,36,1,0,0,0,0,1,0,0
249,Diego Sanchez,Jake Matthews,9/26/2020,0,823.0571289,31,0,2,0,3,9,4,0,0,1,3,0,4,1,180.34,185.42,170,0,0,0,0,0,1,0,Australia,0,0,0,1,0,0,0,USA,764.289835,81,2,6,0,6,19,12,0,0,3,9,6,0,0,177.8,182.88,170,26,38,0,0,1,0,1,0,0,0
258,Colby Covington,Tyron Woodley,9/19/2020,2,1364.869629,42,6,1,0,3,9,5,0,1,1,1,5,1,0,175.26,187.96,170,0,0,0,1,0,0,0,USA,0,1,0,1,0,0,0,USA,1395.839844,38,2,3,0,7,10,2,0,0,0,6,2,2,0,180.34,182.88,170,38,32,0,1,0,0,1,0,0,0
263,Donald Cerrone,Niko Price,9/19/2020,1,524.6855469,18,0,1,0,2,6,5,0,0,0,0,4,2,0,182.88,193.04,170,0,1,0,0,0,0,0,USA,0,1,0,0,0,0,0,USA,594.3883662,75,1,4,0,8,23,12,0,0,0,7,10,6,0,185.42,185.42,155,30,37,1,0,0,0,1,0,0,0
280,Bryan Barberena,Anthony Ivy,9/12/2020,2,59,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,187.96,185,0,0,1,0,0,0,0,USA,1,0,0,0,0,0,0,USA,717.8828125,25,0,1,0,2,5,5,0,0,0,1,3,1,0,182.88,182.88,170,30,31,0,1,0,0,1,0,0,0
284,Michel Pereira,Zelim Imadaev,9/5/2020,2,747,5,0,0,2,0,0,2,0,0,0,0,0,0,0,182.88,193.04,170,0,0,0,0,0,1,0,Russia,1,0,0,0,0,0,0,Brazil,646.25,7,0,1,0,1,1,2,0,0,0,0,1,0,0,185.42,185.42,170,25,26,0,1,0,0,1,0,0,0
292,Robbie Lawler,Neil Magny,8/29/2020,0,867.0260301,58,0,1,0,7,16,6,0,0,1,9,5,1,0,190.5,203.2,170,0,0,0,0,0,1,0,USA,1,0,0,0,0,0,0,USA,1091.73927,63,5,3,0,5,13,8,0,0,3,4,6,0,0,180.34,187.96,170,33,38,1,0,0,0,1,0,0,0
296,Sean Brady,Christian Aguilera,8/29/2020,2,59,1,0,1,0,1,1,0,0,0,0,0,1,0,0,175.26,182.88,170,0,0,0,0,0,1,0,USA,0,0,0,0,0,1,0,USA,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,177.8,182.88,170,28,27,0,1,0,0,0,0,1,0
301,Daniel Rodriguez,Dwight Grant,8/22/2020,2,749.75,7,0,0,1,2,2,1,0,0,1,0,1,0,0,185.42,193.04,170,1,0,0,0,0,0,0,USA,0,0,0,0,0,1,0,USA,708.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,185.42,187.96,170,35,33,0,1,0,0,1,0,0,0
319,Tim Means,Laureano Staropoli,8/8/2020,2,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,185.42,180.34,170,1,0,0,0,0,0,0,Argentina,1,0,0,0,0,0,0,USA,391.4024639,45,0,2,0,4,11,10,0,0,1,3,5,2,0,187.96,190.5,170,27,36,0,1,0,0,1,0,0,0
335,Vicente Luque,Randy Brown,8/1/2020,2,531.1210938,23,0,1,0,2,6,3,0,0,0,2,2,2,0,190.5,198.12,170,1,0,0,0,0,0,0,Jamaica,1,0,0,0,0,0,0,Brazil,798.3233643,28,0,0,1,6,11,3,0,0,1,0,6,3,1,180.34,190.5,170,30,28,1,0,0,0,1,0,0,0
339,Alex Oliveira,Peter Sobotta,7/25/2020,2,715.46875,22,0,0,3,2,4,5,0,0,0,2,1,1,0,182.88,190.5,170,0,1,0,0,0,0,0,Jamaica,1,0,0,0,0,0,0,Brazil,840.3583527,39,0,0,1,3,10,7,0,0,1,2,4,3,0,180.34,193.04,170,33,32,1,0,0,0,1,0,0,0
348,Nicolas Dalby,Jesse Ronson,7/25/2020,1,900,9,0,0,3,0,0,3,0,0,0,0,0,0,0,177.8,177.8,170,1,0,0,0,0,0,0,Canada,0,0,0,0,0,1,0,Denmark,900,15,0,1,0,1,2,3,0,0,1,1,0,0,0,180.34,187.96,170,34,35,0,1,0,0,0,1,0,0
380,Elizeu Zaleski dos Santos,Muslim Salikhov,7/11/2020,0,648.25,8,0,0,1,3,3,1,0,0,0,1,2,0,0,180.34,177.8,170,1,0,0,0,0,0,0,Russia,1,0,0,0,0,0,0,Brazil,750.6464844,25,0,0,1,7,8,2,0,0,1,3,3,1,0,180.34,185.42,170,36,33,1,0,0,0,1,0,0,0
383,Kamaru Usman,Jorge Masvidal,7/11/2020,2,611.0924301,47,0,2,0,3,12,6,0,0,0,5,5,1,1,180.34,187.96,170,1,0,0,1,0,0,0,USA,1,0,0,0,0,0,0,Nigeria,1425.553711,38,3,11,0,11,11,0,0,0,0,8,2,1,0,182.88,193.04,170,35,33,0,0,1,0,1,0,0,0
