,avg_KD,avg_opp_KD,avg_SIG_STR_pct,avg_opp_SIG_STR_pct,avg_TD_pct,avg_opp_TD_pct,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Height_cms,Reach_cms,Weight_lbs,age,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Stance_nan,Win
132,0,0,0.33,0.86,0,1,0,1,0,0,6,2,37,32,6,2,38,32,0,0,1,1,5,2,29,25,1,0,6,5,0,0,2,2,6,2,12,8,0,0,1,1,0,0,24,23,0,84,155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,185.42,170,36,0,1,0,0,0
133,0,0,0.66875,0.4375,0.724375,0.0625,1.6875,0,0,0.875,42.5,27.375,24.25,12.875,59.375,41.125,26.875,15.4375,3.625,1.75,0.25,0.125,32,18.9375,21,10.3125,5.875,4.5625,2.75,2.0625,4.625,3.875,0.5,0.5,21.5625,10.5625,16.0625,6.6875,1.8125,1.375,1.625,1.375,19.125,15.4375,6.5625,4.8125,195.375,59.4375,413.125,11,0,5,0,5,5,0,0,0,1,1,0,3,0,180.34,180.34,170,38,1,0,0,0,1
134,0.020874023,0.039123535,0.33956604,0.450409851,0.260350647,0.807268372,0.766052246,0.828399658,0.755249023,0.000213623,50.74035645,17.55389404,38.67944336,15.14880371,70.94677734,37.21463013,52.86669922,26.06613159,0.304992676,0.28137207,4.559112549,3.640808105,35.9937439,8.015594482,32.68408203,10.86923218,8.641021729,4.559631348,4.297729492,3.276885986,6.10559082,4.978668213,1.697631836,1.002685547,42.57696533,12.5473938,25.32397461,7.418670654,4.896942139,2.626464844,2.93536377,2.284484863,3.266448975,2.3800354,10.42010498,5.445648193,60.41546631,231.5547485,489.1483765,45,3,0,1,5,7,9,0,0,1,1,4,0,1,187.96,190.5,170,36,1,0,0,0,1
135,0.000123531,0.629444122,0.500232726,0.568325279,0.297840933,0.708853363,0.000797342,0.070343738,9.69E-08,0.250000479,52.42357829,25.10193165,75.59852015,43.54199915,63.2877007,34.24691855,98.82407397,62.48847999,4.373028582,0.942662993,2.525064522,2.254343551,31.39614139,10.61177086,54.59869549,25.90797018,12.14456814,7.614044276,17.47646207,14.7428435,8.882868767,6.876116514,3.523362585,2.891185471,36.88361085,13.49611978,47.93009267,22.89003715,3.550701246,2.398155041,9.672073717,7.758405983,11.98926619,9.207656834,17.99635376,12.89355601,147.0400326,205.3203643,764.289835,81,2,6,0,6,19,12,0,0,3,9,6,0,0,177.8,182.88,170,38,0,0,1,0,1
136,0.00390625,1,0.354614258,0.466977539,0.221665039,0.078125,0.004394531,0.01171875,0,0.008789063,389.1313477,137.1044922,259.7871094,124.8632813,407.7133789,153.1762695,267.0571289,131.9624023,7.610351563,3.886230469,1.6875,0.4375,334.6694336,96.00195313,205.6303711,84.38867188,31.91943359,21.43505859,46.83154297,33.74316406,22.54248047,19.66748047,7.325195313,6.731445313,374.8706055,128.2124023,241.090332,107.5639648,13.25390625,8.234863281,10.65429688,9.776367188,1.006835938,0.657226563,8.042480469,7.522949219,267.5429688,24.59667969,1395.839844,38,2,3,0,7,10,2,0,0,0,6,2,2,0,180.34,182.88,170,32,0,1,0,0,1
137,0.08438203,0.376586935,0.29617955,0.598707026,0.204181918,0.007824884,0.007921487,0.00012207,0.007813483,2.98E-08,106.9972241,43.37113669,92.87135524,51.87809826,107.1130093,43.48195653,103.2807305,61.27938303,4.130699943,1.083636419,0.712048744,0.007874757,83.17817584,23.46307286,69.58789694,36.26956543,14.80731494,11.4413556,13.85651716,7.830957587,9.011733276,8.466708231,9.42694114,7.777575241,103.1751801,41.04351045,85.17653622,45.37196737,3.121345592,1.910288156,2.305635477,1.994732212,0.700698335,0.417338091,5.389183546,4.511398681,55.65895831,4.790911136,594.3883662,75,1,4,0,8,23,12,0,0,0,7,10,6,0,185.42,185.42,155,37,1,0,0,0,0
138,0.595703125,0.75,0.479238281,0.61859375,0.004550781,0.044140625,0.06640625,0.6953125,0,0.25,154.828125,73.73632813,145.8007813,90.5234375,207.9589844,125.1933594,149.7949219,94.35351563,0.267578125,0.005859375,0.6875,0.384765625,121.3984375,49.9296875,107.890625,58.13867188,14.82617188,10.41015625,25.96484375,20.70117188,18.60351563,13.39648438,11.9453125,11.68359375,128.8535156,55.15234375,122.0800781,69.00390625,17.90820313,13.2578125,21.6015625,19.65234375,8.06640625,5.326171875,2.119140625,1.8671875,45.46875,132.4375,717.8828125,25,0,1,0,2,5,5,0,0,0,1,3,1,0,182.88,182.88,170,31,0,1,0,0,1
139,0.75,0,0.53,0.4475,0.6,0,0,0.25,0,0,67,36,64.25,29,76.5,43.5,90.5,52.75,2.25,1.5,4.5,0,39.25,14.25,44,15.75,24.25,18.75,11.75,6.75,3.5,3,8.5,6.5,56.5,26.5,49.25,17.75,8,7.5,6,4,2.5,2,9,7.25,70.75,90.75,646.25,7,0,1,0,1,1,2,0,0,0,0,1,0,0,185.42,185.42,170,26,0,1,0,0,1
140,0.024791718,0.031265259,0.564035959,0.308498869,0.252116919,0.443806314,0,0.254189491,0.001228333,0,132.6943417,63.90507698,315.9907293,120.5074196,143.4046516,74.10281372,337.8904953,139.3811598,0.31758213,0.254096031,11.12295723,5.589978218,111.6831226,47.66159248,268.9473886,82.31838608,17.12728405,12.42742252,25.65491486,18.57833481,3.883934975,3.816061974,21.38842583,19.6106987,107.5159473,43.66701603,282.2051611,97.08487034,20.44341278,16.06524467,32.30009079,21.94488811,4.734981537,4.172816277,1.485477448,1.477661133,44.126441,359.7986565,1091.73927,63,5,3,0,5,13,8,0,0,3,4,6,0,0,180.34,187.96,170,38,1,0,0,0,0
141,0.5,0,0.535,0.39,0.55,0,0.5,0,0,0,150.5,83,189,72,215.5,136.5,200.5,83,6,3,3.5,0,119.5,57.5,150,43.5,8,5.5,19.5,11,23,20,19.5,17.5,138,74,180.5,67,3.5,2,8.5,5,9,7,0,0,260,51,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,177.8,182.88,170,27,0,1,0,0,1
