R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Elizeu Zaleski dos Santos,Muslim Salikhov,648.25,8,0,0,1,3,3,1,180.34,177.8,170,750.6464844,25,0,0,1,7,8,2,180.34,185.42,170,36,33,0,0,0,0
Kamaru Usman,Jorge Masvidal,611.0924301,47,0,2,0,3,12,6,180.34,187.96,170,1425.553711,38,3,11,0,11,11,0,182.88,193.04,170,35,33,2,0,-2,2
Mike Perry,Mickey Gall,668.421875,13,0,3,0,3,5,2,187.96,187.96,170,452.0302734,27,0,2,0,2,6,6,177.8,180.34,170,28,28,0,2,2,2
Belal Muhammad,Lyman Good,501.0625,10,0,1,0,1,3,2,182.88,187.96,170,804.2128906,28,0,0,1,4,7,3,180.34,182.88,170,35,31,0,0,0,2
Neil Magny,Anthony Rocco Martin,878.1481934,38,0,0,2,4,9,5,182.88,185.42,170,834.0520601,55,0,1,0,7,15,6,190.5,203.2,170,30,32,0,0,0,2
Tyron Woodley,Gilbert Burns,487.5958252,31,0,3,0,5,11,3,177.8,180.34,170,1229.739258,37,6,1,0,3,9,4,175.26,187.96,170,33,38,0,0,0,0
Matt Brown,Miguel Baeza,452,2,0,1,0,1,1,0,187.96,187.96,170,485.8142012,56,0,1,0,7,15,10,182.88,190.5,170,27,39,0,0,0,0
Anthony Pettis,Donald Cerrone,288.7767324,72,1,4,0,8,23,11,185.42,185.42,155,575.9144135,45,4,0,1,5,9,9,177.8,182.88,155,37,33,0,0,0,2
Vicente Luque,Niko Price,232.3710938,15,0,1,0,2,6,4,182.88,193.04,170,779.6467285,25,0,0,1,6,10,3,180.34,190.5,170,30,28,0,0,0,2
Elizeu Zaleski dos Santos,Aleksei Kunchenko,900,9,0,2,0,2,2,1,172.72,177.8,170,601.2929688,22,0,0,1,7,7,2,180.34,185.42,170,35,33,0,0,0,2
Demian Maia,Gilbert Burns,821.1916504,30,0,3,0,4,10,3,177.8,180.34,170,817.9370818,85,2,5,0,7,22,9,185.42,182.88,170,33,42,1,0,-1,0
Neil Magny,Li Jingliang,853.2138672,29,0,1,0,4,9,3,182.88,180.34,170,768.1041203,52,0,1,0,7,14,6,190.5,203.2,170,31,32,0,0,0,2
Alex Oliveira,Max Griffin,892.125,22,0,0,1,1,3,5,180.34,193.04,170,780.7167053,36,0,0,1,3,9,7,180.34,193.04,170,34,32,0,0,0,2
Sean Brady,Ismail Naurdiev,900,9,0,1,0,1,2,1,177.8,187.96,170,900,3,0,1,0,1,1,0,177.8,182.88,170,23,27,0,0,0,2
Jake Matthews,Emil Meek,900,9,0,1,0,1,1,2,180.34,187.96,170,746.1142578,28,0,2,0,3,8,4,180.34,185.42,170,31,25,0,2,2,2
Callan Potter,Song Kenan,750,9,0,2,0,2,3,1,182.88,180.34,170,476.5,4,0,0,1,1,1,1,182.88,182.88,170,29,35,0,0,0,0
Diego Sanchez,Michel Pereira,503.5,4,0,1,0,1,1,1,185.42,185.42,170,739.57967,78,2,6,0,6,18,12,177.8,182.88,170,26,38,1,0,-1,2
Rafael Dos Anjos,Michael Chiesa,630.9594727,27,1,2,0,3,9,4,185.42,190.5,170,1377.817718,83,4,0,2,5,18,10,172.72,177.8,155,32,35,1,1,0,0
Conor McGregor,Donald Cerrone,537.5534648,71,1,4,0,8,23,10,185.42,185.42,155,899.3056641,24,4,7,0,7,9,2,175.26,187.96,155,36,31,1,0,-1,2
