R_fighter,B_fighter,BR_Total_time_fought,BR_total_rounds_fought,BR_total_title_bouts,BR_current_win_streak,BR_current_lose_streak,BR_longest_win_Streak,BR_Wins,BR_losses,BR_Height,BR_Reach,BR_Weight,BR_age,BR_Stance,Win
Thiago Alves,Tim Means,-500.0454061,-22,-1,2,-1,-3,-5,-2,-3,1,-4,-1,0,0
Sergio Moraes,James Krause,-168.2705078,-11,-1,1,-1,1,-1,-2,1,-3,4,-4,0,0
Warlley Alves,Randy Brown,-37.49804688,-4,-1,-3,0,-2,-2,0,-2,2,-4,1,0,0
Zelim Imadaev,Danny Roberts,-515.1953125,15,0,2,-1,2,5,3,2,1,1,8,1,0
Rustam Khabilov,Sergey Khandozhko,0.590332031,-30,0,-2,0,-5,-8,-3,-5,2,-7,-6,0,2
Ramazan Emeev,Anthony Rocco Martin,-43.70361328,26,0,-3,2,1,5,5,0,5,-5,-3,-1,0
Stephen Thompson,Vicente Luque,-294.9932861,-18,-2,-1,1,-1,1,-3,4,-7,11,-9,0,2
Jorge Masvidal,Nate Diaz,671.1030321,16,2,3,0,2,4,3,1,2,-1,0,1,2
Lyman Good,Chance Rencountre,432.125,0,0,-1,1,1,0,-1,1,-2,3,-2,1,2
Muslim Salikhov,Laureano Staropoli,503.5,1,0,2,-1,0,0,-1,1,-2,3,-9,0,2
Demian Maia,Ben Askren,-699.3741637,-80,-2,-4,0,-6,-20,-8,-12,4,-16,-6,-1,2
Niko Price,James Vick,37.87353516,12,0,4,0,3,4,0,4,-4,8,2,0,2
Max Griffin,Alex Morono,-379.9375,0,0,2,-1,1,2,-1,3,-4,7,-4,0,0
Jake Matthews,Rostem Akman,307.7714844,-22,0,-2,1,-3,-7,-3,-4,1,-5,2,2,2
Luke Jumeau,Dhiego Lima,-279.4296875,6,2,-1,1,1,1,4,-3,7,-10,-1,0,0
Nicolas Dalby,Alex Oliveira,-238.5665894,21,0,-1,1,2,8,3,5,-2,7,-3,0,2
Gunnar Nelson,Gilbert Burns,82.54638672,1,0,-1,0,-1,1,-1,2,-3,5,2,-2,0
Siyar Bahadurzada,Ismail Naurdiev,177.71875,-11,0,0,0,-2,-3,-2,-1,-1,0,-12,0,0
Belal Muhammad,Takashi Sato,-515.4257813,-23,0,1,-1,-3,-5,-3,-2,-1,-1,-2,1,2
Nordine Taleb,Muslim Salikhov,-133.9960938,-22,0,-3,1,-2,-6,-3,-3,0,-3,-3,0,0
Li Jingliang,Elizeu Zaleski dos Santos,-503.8417969,-7,0,-1,1,3,-1,-2,1,-3,4,1,0,2
Song Kenan,Derrick Krantz,-368,-5,0,-2,1,-2,-2,0,-2,2,-4,2,0,2
Anthony Pettis,Nate Diaz,494.9181309,17,-2,5,-1,0,5,2,3,-1,4,2,1,0
Vicente Luque,Mike Perry,309.5341797,4,0,2,-1,-3,-3,2,-5,7,-12,0,0,2
Gilbert Burns,Aleksei Kunchenko,315.2333984,-18,0,-1,0,-1,-6,-3,-3,0,-3,2,0,2
Colby Covington,Robbie Lawler,-499.8808346,30,4,0,0,-1,4,6,-2,8,-10,6,1,2
Mickey Gall,Salim Touahri,463.15625,-4,0,-3,2,-3,-4,0,-4,4,-8,2,-2,2
Geoff Neal,Niko Price,-325.265625,6,0,-2,0,-1,2,3,-1,4,-5,1,-1,2
Erik Koch,Kyle Stewart,-627.140625,-18,0,-2,1,-2,-4,-4,0,-4,4,0,-1,2
Rafael Dos Anjos,Leon Edwards,-208.4909047,-45,-4,0,-1,2,-9,-7,-2,-5,3,-7,0,0
Jorge Masvidal,Ben Askren,-439.3697205,-42,0,-1,0,-2,-9,-6,-3,-3,0,0,0,2
Diego Sanchez,Michael Chiesa,-217.2403947,-51,-1,-4,0,-3,-10,-7,-3,-4,1,-6,0,0
Ismail Naurdiev,Chance Rencountre,-377.5,1,0,-1,1,0,0,1,-1,2,-3,10,1,0
Demian Maia,Anthony Rocco Martin,108.8444461,-47,-2,-5,2,-3,-12,-5,-7,2,-9,-12,-1,2
Bryan Barberena,Randy Brown,-75.28125,-4,0,0,0,0,-1,-1,0,-1,1,-2,-1,0
Rafael Dos Anjos,Kevin Lee,-146.020872,-38,-3,0,-1,0,-7,-5,-2,-3,1,-8,-1,2
Thiago Alves,Laureano Staropoli,52.68947649,-58,-1,1,-1,-6,-14,-10,-4,-6,2,-9,0,0
Warlley Alves,Sergio Moraes,190.8925781,9,0,-4,1,0,2,1,1,0,1,8,0,2
Alex Oliveira,Mike Perry,133.3753662,-10,0,2,-1,-1,-4,-1,-3,2,-5,-4,0,0
Court McGee,Dhiego Lima,-538.630127,-27,1,-3,1,-2,-6,-1,-5,4,-9,-4,0,0
Sultan Aliev,Keita Nakamura,323.8203125,23,0,0,2,0,3,4,-1,5,-6,0,1,2
Alan Jouban,Dwight Grant,208.4755859,-17,0,-1,1,-2,-6,-3,-3,0,-3,-3,1,0
Curtis Millender,Belal Muhammad,402.2265625,13,0,-3,1,1,2,2,0,2,-2,-1,0,0
Stephen Thompson,Anthony Pettis,-725.2581787,0,2,-1,1,-2,-1,3,-4,7,-11,-4,0,0
Danny Roberts,Claudio Silva,17.28125,-7,0,1,0,1,-2,-2,0,-2,2,5,0,0
Darren Till,Jorge Masvidal,2.098815918,22,-1,1,0,-1,4,4,0,4,-4,8,-1,0
Leon Edwards,Gunnar Nelson,-774.6152344,-7,0,4,-1,-2,0,1,-1,2,-3,3,1,2
Elizeu Zaleski dos Santos,Curtis Millender,346.078125,-10,0,3,-1,-3,-3,-1,-2,1,-3,-1,0,2
Anthony Rocco Martin,Sergio Moraes,-78.43945313,-1,1,0,-1,1,1,-1,2,-3,5,7,0,2
Tim Means,Niko Price,-222.2509613,-30,0,-1,0,-2,-6,-5,-1,-4,3,-6,0,0
Alex Morono,Zak Ottow,-134.8125,-2,0,-1,0,-1,0,0,0,0,0,4,0,2
Tyron Woodley,Kamaru Usman,342.7363281,-4,-4,8,0,6,0,-3,3,-6,9,-5,2,0
Diego Sanchez,Mickey Gall,-284.6311799,-65,-2,-3,0,-3,-13,-10,-3,-7,4,-10,1,2
Dwight Grant,Carlo Pedersoli Jr.,-430.5,1,0,1,-1,1,1,0,1,-1,2,-9,-1,2
Vicente Luque,Bryan Barberena,113.1835938,4,0,1,-1,-2,-2,1,-3,4,-7,2,1,2
Demian Maia,Lyman Good,-849.2466548,-72,-2,-4,0,-6,-17,-8,-9,1,-10,-8,-1,2
Thiago Alves,Max Griffin,42.37895298,-45,-1,0,0,-6,-12,-7,-5,-2,-3,-2,0,2
Belal Muhammad,Geoff Neal,-598.203125,-16,0,2,-1,-2,-3,-2,-1,-1,0,-2,1,0
Carlos Condit,Michael Chiesa,-254.4588623,-21,-2,2,-1,-2,0,-4,4,-8,12,-3,1,0
Curtis Millender,Siyar Bahadurzada,-183.9375,9,0,-1,0,1,2,2,0,2,-2,3,0,2
Alex Oliveira,Gunnar Nelson,-6.385986328,-7,0,4,-1,1,-2,-1,-1,0,-1,0,2,0
Chad Laprise,Dhiego Lima,258.171875,-8,1,-3,1,-2,-5,2,-7,9,-16,-3,0,0
Yushin Okami,Aleksei Kunchenko,299.6282845,-49,-1,-3,0,-3,-13,-6,-7,1,-8,-3,-1,0
Jake Matthews,Anthony Rocco Martin,265.9140625,4,0,-2,2,0,-1,1,-2,3,-5,4,0,0
Keita Nakamura,Salim Touahri,21.359375,-23,0,0,-2,-1,-3,-5,2,-7,9,-5,-1,2
Rafael Dos Anjos,Kamaru Usman,-164.1120564,-46,-3,8,-2,3,-9,-8,-1,-7,6,-3,1,0
Tim Means,Ricky Rainey,-284.4394226,-38,0,-2,1,-4,-9,-7,-2,-5,3,1,2,2
Song Kenan,Alex Morono,389.25,12,0,0,0,0,1,3,-2,5,-7,0,0,0
Li Jingliang,David Zawada,116.1445313,-20,0,-1,1,-4,-7,-2,-5,3,-8,-2,0,2
Michel Prazeres,Bartosz Fabinski,76.625,-22,0,3,-1,-4,-6,-2,-4,2,-6,-5,0,2
Neil Magny,Santiago Ponzinibbio,180.3855095,-27,0,-1,1,-1,-6,-3,-3,0,-3,1,0,0
Donald Cerrone,Mike Perry,-115.2264973,-41,-1,-2,0,-6,-15,-5,-10,5,-15,-8,0,2
