R_fighter,B_fighter,BR_Total_time_fought,BR_total_rounds_fought,BR_total_title_bouts,BR_current_win_streak,BR_current_lose_streak,BR_longest_win_Streak,BR_Wins,BR_losses,BR_Height,BR_Reach,BR_Weight,BR_age,BR_Stance,Win
Bojan Velickovic,Sultan Aliev,-738,-5,0,-1,1,-1,-1,0,-1,1,-2,5,-1,0
Donald Cerrone,Matt Brown,-42.9822197,5,-1,-3,0,-1,-5,5,-10,15,-25,2,0,2
Jake Ellenberger,Jorge Masvidal,556.5361328,-4,0,2,-1,-3,-3,-3,0,-3,3,1,0,0
Kyle Noke,Omari Akhmedov,51.18847656,-10,0,-2,0,-1,-3,-2,-1,-1,0,-7,-1,0
Richard Walsh,Jonathan Meunier,-150.875,-10,0,-1,1,-1,-2,-2,0,-2,2,2,2,0
Sergio Moraes,Zak Ottow,88.125,-13,-1,1,-1,-3,-3,-2,-1,-1,0,-5,0,2
Warlley Alves,Kamaru Usman,134.0625,-4,0,-1,0,-1,-1,-1,0,-1,1,4,2,0
Zak Cummings,Alexander Yakovlev,-18.59375,0,0,-2,2,0,-2,1,-3,4,-7,0,0,2
Tyron Woodley,Stephen Thompson,537.5195313,5,-1,0,0,4,2,-1,3,-4,7,-1,0,1
Vicente Luque,Belal Muhammad,587.375,-1,0,0,0,-2,-2,0,-2,2,-4,4,0,2
Erick Montano,Max Griffin,-21,-3,-1,-1,1,-1,-1,0,-1,1,-2,0,0,0
Leon Edwards,Albert Tumenov,-273.90625,1,0,0,0,3,2,0,2,-2,4,-1,-1,2
Danny Roberts,Mike Perry,-315,-3,0,-1,0,-1,-1,0,-1,1,-2,-4,-1,0
Keita Nakamura,Elizeu Zaleski dos Santos,112.375,-11,0,0,-2,0,-1,-3,2,-5,7,-3,-1,0
Erick Silva,Luan Chagas,410.9379883,-17,0,-1,1,-2,-6,-5,-1,-4,3,-9,0,2
Vicente Luque,Hector Urbina,34.75,-2,0,1,-1,-1,-1,0,-1,1,-2,5,0,2
Roan Carneiro,Kenny Robertson,364.6015625,3,0,-1,2,2,1,0,1,-1,2,-6,0,2
Augusto Montano,Belal Muhammad,305,-1,0,-1,1,-1,-1,0,-1,1,-2,-3,0,0
Erick Montano,Randy Brown,-224.5,2,-1,0,0,0,0,1,-1,2,-3,-4,0,0
Yancy Medeiros,Sean Spencer,149.3046875,8,0,0,-2,0,0,-1,1,-2,3,0,0,2
Peter Sobotta,Nicolas Dalby,570.25,-5,0,1,-3,-1,-1,-2,1,-3,4,2,-1,2
Demian Maia,Carlos Condit,206.4810708,-24,2,-5,1,0,-10,-1,-9,8,-17,-6,-1,2
Rick Story,Donald Cerrone,-469.9566212,-6,1,4,-1,2,5,-2,7,-9,16,2,-1,0
Nate Diaz,Conor McGregor,-278.7062569,-39,0,2,0,2,-7,-7,0,-7,7,-3,0,0
Neil Magny,Lorenz Larkin,-84.49182129,-17,0,-1,1,-5,-7,2,-9,11,-20,0,0,0
Court McGee,Dominique Steele,41.16796875,-20,-1,-3,1,-2,-5,-2,-3,1,-4,-3,0,2
Santiago Ponzinibbio,Zak Cummings,265.1875,-1,0,2,-1,0,0,-1,1,-2,3,3,1,2
Matt Brown,Jake Ellenberger,-92.43737602,-14,0,-1,1,-1,-4,-1,-3,2,-5,-4,0,0
Ross Pearson,Jorge Masvidal,84.52828598,-22,-1,-1,0,0,-5,-5,0,-5,5,0,0,0
Robbie Lawler,Tyron Woodley,-776.3441467,-34,-4,-2,0,-3,-7,-2,-5,3,-8,0,-1,0
Michael Graves,Bojan Velickovic,224.5,-2,0,-1,0,-1,-1,0,-1,1,-2,2,1,1
Kamaru Usman,Alexander Yakovlev,-70,5,-1,-2,2,0,0,2,-2,4,-6,3,-1,2
Alex Oliveira,James Moontasri,-70.1875,-4,0,0,0,-2,-1,0,-1,1,-2,0,2,2
Kyle Noke,Keita Nakamura,190.6894531,-5,0,-3,3,-2,-5,0,-5,5,-10,-4,0,0
Johny Hendricks,Kelvin Gastelum,402.8786316,-22,-2,1,0,-1,-6,-2,-4,2,-6,-8,0,0
Li Jingliang,Anton Zafir,-338.75,-9,0,-1,1,-1,-2,-1,-1,0,-1,1,0,2
Mike Pyle,Alberto Mina,-158.9144592,-29,0,2,-1,-2,-8,-6,-2,-4,2,-6,0,0
Vicente Luque,Alvaro Herrera Mendoza,-486.5,-3,0,1,-1,0,0,-1,1,-2,3,2,0,2
Rory MacDonald,Stephen Thompson,-689.2382813,-18,-1,0,0,1,-2,-2,0,-2,2,7,0,0
Donald Cerrone,Patrick Cote,305.4972382,7,1,-4,4,-4,-6,5,-11,16,-27,3,0,2
Sean Strickland,Tom Breese,-249.5625,-8,0,1,0,1,-1,-1,0,-1,1,-1,1,2
Jorge Masvidal,Lorenz Larkin,-358.9804688,-7,0,-2,1,-1,-3,2,-5,7,-12,-2,0,0
Tarec Saffiedine,Rick Story,68.89656067,35,0,-1,1,5,9,5,4,1,3,2,-1,0
Demian Maia,Matt Brown,-257.7314658,-12,-1,-4,0,2,-3,1,-4,5,-9,-3,-1,2
Warlley Alves,Bryan Barberena,297.625,-1,-1,-3,0,-3,-2,1,-3,4,-7,2,1,0
Albert Tumenov,Gunnar Nelson,98.09375,4,0,4,-1,-1,0,1,-1,2,-3,3,2,0
Leon Edwards,Dominic Waters,-243,-6,0,0,1,-2,-2,0,-2,2,-4,3,-1,2
Danny Roberts,Dominique Steele,169,3,0,-1,1,0,0,1,-1,2,-3,0,-1,2
Court McGee,Santiago Ponzinibbio,-469.6640625,-16,-1,-3,1,-1,-3,-1,-2,1,-3,-2,0,0
Randy Brown,Michael Graves,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizeu Zaleski dos Santos,Omari Akhmedov,-313.0625,6,0,1,-1,2,3,1,2,-1,3,-1,0,2
Nicolas Dalby,Zak Cummings,-586.625,1,0,1,0,1,2,0,2,-2,4,0,1,0
Hector Lombard,Neil Magny,323.6398926,22,0,1,-1,5,7,0,7,-7,14,-10,-1,0
Brendan O'Reilly,Alan Jouban,-497.4375,3,0,1,-1,1,2,1,1,0,1,6,1,0
Richard Walsh,Viscardi Andrade,-10.75,-3,0,0,0,0,0,-1,1,-2,3,5,0,0
Brandon Thatch,Siyar Bahadurzada,287.375,0,0,-1,0,-1,-1,0,-1,1,-2,1,-2,0
Conor McGregor,Nate Diaz,557.4125137,39,0,-2,0,-2,6,8,-2,10,-12,3,0,0
Erick Silva,Nordine Taleb,141.3759766,-7,0,2,0,1,-3,-4,1,-5,6,3,0,0
Tom Breese,Keita Nakamura,531,10,0,-2,3,-1,-1,3,-4,7,-11,7,0,2
Donald Cerrone,Alex Oliveira,289.6583633,-29,-1,-4,1,-5,-12,-3,-9,6,-15,-4,0,2
Alex Garcia,Sean Strickland,28.75,0,0,0,0,0,0,0,0,0,0,-4,0,0
Jonavin Webb,Nathan Coy,-734,-2,0,0,0,0,0,0,0,0,0,11,1,0
Johny Hendricks,Stephen Thompson,-687.0083618,-28,-3,-3,0,-1,-6,-2,-4,2,-6,0,-1,0
Mike Pyle,Sean Spencer,284.9523315,-12,0,0,0,-2,-6,-3,-3,0,-3,-12,0,2
Sage Northcutt,Bryan Barberena,653,3,0,-1,0,-1,-1,1,-2,3,-5,7,1,0
Tarec Saffiedine,Jake Ellenberger,-692.8203125,24,0,-1,1,5,8,5,3,2,1,1,-2,2
George Sullivan,Alexander Yakovlev,75.875,-2,0,-2,2,-1,-2,1,-3,4,-7,-3,1,0
Patrick Cote,Ben Saunders,-202.7228317,-25,-2,3,-4,-1,-2,-6,4,-10,14,-3,0,2
Lorenz Larkin,Albert Tumenov,-69.3125,-7,0,0,0,2,1,-3,4,-7,11,-5,0,0
Robbie Lawler,Carlos Condit,-650.5652466,-11,-1,-3,1,1,-4,0,-4,4,-8,-2,-1,2
Sheldon Westcott,Edgar Garcia,-345.75,0,-1,0,1,0,0,1,-1,2,-3,0,-1,2
Kamaru Usman,Leon Edwards,298,5,-1,-1,1,1,1,1,0,1,-1,-4,-1,2
Hayder Hassan,Vicente Luque,521,1,-1,0,0,0,0,0,0,0,0,-9,-3,0
Warlley Alves,Colby Covington,67.25,-1,-1,0,0,0,0,0,0,0,0,3,0,2
Demian Maia,Gunnar Nelson,-258.0093107,-42,-1,-1,0,-1,-10,-5,-5,0,-5,-11,1,2
Court McGee,Marcio Alexandre Junior,-132.828125,-17,0,-3,2,-3,-5,-1,-4,3,-7,-4,1,2
Ryan LaFlare,Mike Pierce,-877.6591797,17,0,-3,0,0,5,3,2,1,1,3,-1,2
Omari Akhmedov,Sergio Moraes,273.625,4,1,-1,1,1,0,0,0,0,0,5,0,0
Tim Means,John Howard,232.9301758,11,0,2,0,0,1,2,-1,3,-4,1,0,2
Santiago Ponzinibbio,Andreas Stahl,309,-6,0,0,0,-2,-2,-1,-1,0,-1,-2,0,2
Dong Hyun Kim,Dominic Waters,357.2785034,-35,0,-2,1,-4,-11,-3,-8,5,-13,-8,-1,2
Yoshihiro Akiyama,Alberto Mina,-543.875,-15,0,0,0,0,-1,-4,3,-7,10,-7,0,0
Benson Henderson,Jorge Masvidal,-369.34375,-26,-5,-5,0,-4,-4,-1,-3,2,-5,-1,-1,2
Neil Magny,Kelvin Gastelum,-45.18603516,-15,1,4,0,-2,-3,-2,-1,-1,0,-4,1,2
Hector Urbina,Bartosz Fabinski,682,2,0,0,0,0,0,0,0,0,0,1,0,0
Kyle Noke,Peter Sobotta,-214.7421875,-3,0,-3,3,-1,-3,0,-3,3,-6,-7,0,2
Richard Walsh,Steve Kennedy,-342.5,-6,0,-1,1,-1,-1,-1,0,-1,1,6,0,2
Viscardi Andrade,Gasan Umalatov,402,5,0,-1,1,0,0,1,-1,2,-3,2,0,2
Nicolas Dalby,Darren Till,-503,-1,0,0,0,0,0,0,0,0,0,-8,1,1
Cathal Pendred,Tom Breese,-577.8125,-13,0,-3,0,-3,-3,-1,-2,1,-3,-4,1,0
Alan Jouban,Albert Tumenov,-22.375,0,0,-1,1,1,0,0,0,0,0,-10,-1,0
Keita Nakamura,Li Jingliang,-407.5,-2,0,1,-3,1,2,-2,4,-6,10,-4,-1,2
Neil Magny,Erick Silva,-245.0615234,-13,0,0,0,-5,-2,1,-3,4,-7,3,0,2
Patrick Cote,Joshua Burkman,-76.17906189,-12,-2,2,-4,-2,-3,-2,-1,-1,0,0,0,2
Demian Maia,Neil Magny,-664.5244808,-27,-1,-4,0,2,-6,-4,-2,-2,0,-10,-1,2
Warlley Alves,Nordine Taleb,137.5,3,-1,1,0,1,1,0,1,-1,2,10,0,2
Kenny Robertson,Ben Saunders,-147.6328125,3,0,3,-2,0,2,0,2,-2,4,1,0,0
Leon Edwards,Pawel Pawlak,446,2,0,0,0,0,0,0,0,0,0,3,-1,2
Alan Jouban,Matt Dwyer,-231.75,-3,0,-1,1,0,-1,0,-1,1,-2,-8,-1,2
Igor Araujo,Sean Strickland,67.75,-1,0,0,0,0,0,0,0,0,0,-10,0,0
Jorge Masvidal,Cezar Ferreira,-472.578125,-8,1,1,0,0,-1,0,-1,1,-2,0,1,2
Jake Ellenberger,Stephen Thompson,113.046875,-18,0,1,-1,-2,-4,-4,0,-4,4,2,0,0
Matt Brown,Tim Means,-279.6166916,-22,0,1,0,-3,-6,-4,-2,-2,0,-3,0,2
Gunnar Nelson,Brandon Thatch,-378.875,-6,0,-2,0,-2,-2,0,-2,2,-4,3,0,2
Robbie Lawler,Rory MacDonald,-567.4468994,-10,-2,-2,0,2,-1,-2,1,-3,4,-8,-1,2
Cathal Pendred,John Howard,-335.2724609,21,0,0,0,0,2,6,-4,10,-14,5,0,0
Mike Swick,Alex Garcia,226.9775391,-21,0,-3,0,-3,-8,-3,-5,2,-7,-9,0,0
Santiago Ponzinibbio,Lorenz Larkin,-260.625,7,0,0,0,-1,0,3,-3,6,-9,0,0,0
Augusto Montano,Cathal Pendred,513.25,7,0,2,0,2,2,0,2,-2,4,-3,0,0
Brian Ebersole,Omari Akhmedov,-318.375,-14,0,-3,0,-3,-3,-1,-2,1,-3,-7,-1,0
KJ Noons,Alex Oliveira,459,-6,0,0,0,-2,-2,-1,-1,0,-1,-5,0,0
Carlos Condit,Thiago Alves,-141.6225891,15,-1,0,0,2,7,2,5,-3,8,0,0,2
Dong Hyun Kim,Joshua Burkman,506.043335,-8,0,0,0,-2,-5,2,-7,9,-16,2,-1,2
Mike Pyle,Colby Covington,228.3421631,-23,0,2,-1,-2,-7,-5,-2,-3,1,-12,0,0
Hyun Gyu Lim,Neil Magny,213.9882813,15,0,-1,0,4,4,1,3,-2,5,-3,0,0
Li Jingliang,Dhiego Lima,-588.75,-1,1,-1,1,0,0,1,-1,2,-3,-1,0,2
Vik Grujic,Brendan O'Reilly,508.25,-2,0,0,0,-1,-1,-1,0,-1,1,-11,0,0
Patrick Cote,Joe Riggs,-727.9655457,-26,-2,1,-4,-3,-3,-4,1,-5,6,-3,1,2
Nordine Taleb,Chris Clements,-507.5,3,0,-1,0,-1,0,2,-2,4,-6,6,0,2
George Sullivan,Tim Means,-163.515625,15,0,0,0,1,3,3,0,3,-3,-3,0,0
Pawel Pawlak,Sheldon Westcott,-319,-1,1,0,0,0,0,0,0,0,0,4,1,2
Seth Baczynski,Leon Edwards,369.4296875,-19,0,0,0,-4,-5,-4,-1,-3,2,-10,1,0
Demian Maia,Ryan LaFlare,-38.28724289,-36,-1,-1,0,-1,-9,-6,-3,-3,0,-6,0,2
Erick Silva,Josh Koscheck,209.4768908,37,1,1,0,4,10,5,5,0,5,7,0,2
Johny Hendricks,Matt Brown,-397.2052155,3,-3,-3,0,1,1,3,-2,5,-7,3,-1,2
Jake Ellenberger,Josh Koscheck,-96.7727809,20,1,2,-1,-1,7,3,4,-1,5,8,0,2
Dhiego Lima,Tim Means,401.46875,15,-1,2,-1,1,3,2,1,1,0,5,0,0
Alan Jouban,Richard Walsh,318.5,2,0,0,0,0,0,0,0,0,0,-7,-1,2
Santiago Ponzinibbio,Sean Strickland,96.5,0,0,2,-1,1,1,-1,2,-3,5,-5,0,2
William Macario,Matt Dwyer,-687.75,-7,-1,0,0,-1,-1,-1,0,-1,1,2,0,0
Benson Henderson,Brandon Thatch,-651.484375,-41,-5,-5,0,-5,-7,-3,-4,1,-5,-2,1,2
Neil Magny,Kiichi Kunimoto,-231.2265625,-16,0,2,0,-2,-3,-2,-1,-1,0,6,0,2
Jordan Mein,Thiago Alves,463.4970093,36,1,-1,1,5,9,5,4,1,3,6,0,0
Tyron Woodley,Kelvin Gastelum,191.25,0,1,4,0,3,1,-2,3,-5,8,-9,1,2
Nicholas Musoke,Albert Tumenov,-495.375,-5,0,-2,1,0,-1,0,-1,1,-2,-5,0,0
John Howard,Lorenz Larkin,-163.9550781,-18,0,-4,1,-3,-5,-1,-4,3,-7,-3,0,0
Cathal Pendred,Sean Spencer,183.0625,10,0,-2,1,0,1,2,-1,3,-4,0,0,2
Hector Lombard,Joshua Burkman,157.5976563,13,0,2,-1,0,2,3,-1,4,-5,-2,-1,1
Omari Akhmedov,Mats Nilsson,20.5,-1,0,-1,1,-1,-1,0,-1,1,-2,4,0,2
Erick Silva,Mike Rhodes,424.0078125,-7,0,-1,2,-1,-4,-2,-2,0,-2,-5,0,2
Marcio Alexandre Junior,Tim Means,248.9375,13,-1,2,-1,2,3,2,1,1,0,5,-1,0
Joe Riggs,Ben Saunders,273.1953125,4,0,2,0,2,1,-1,2,-3,5,-1,-1,0
Johny Hendricks,Robbie Lawler,-69.59277344,-1,-1,-1,0,-3,-2,2,-4,6,-10,1,0,0
Jake Ellenberger,Kelvin Gastelum,78.3125,-18,1,4,-1,-2,-4,-4,0,-4,4,-6,1,0
Warlley Alves,Alan Jouban,-362,-2,-1,0,0,0,0,0,0,0,0,9,1,2
Wagner Silva,Colby Covington,-76,-1,0,1,-1,1,1,-1,2,-3,5,-1,0,0
Vik Grujic,Chris Clements,1.5,4,0,1,-1,0,0,1,-1,2,-3,1,0,0
William Macario,Neil Magny,35.453125,13,-1,1,-1,3,4,1,3,-2,5,4,0,0
Nordine Taleb,Li Jingliang,0,0,0,0,0,0,0,0,0,0,0,-7,0,2
Rory MacDonald,Tarec Saffiedine,613.640625,-20,0,0,0,-4,-7,-2,-5,3,-8,3,2,2
Nicholas Musoke,Alexander Yakovlev,178.25,-4,0,-2,1,-2,-2,0,-2,2,-4,2,1,2
Cathal Pendred,Gasan Umalatov,387,4,0,-1,1,0,0,1,-1,2,-3,5,0,2
Gunnar Nelson,Rick Story,129.5431213,34,0,-4,1,2,6,6,0,6,-6,4,-1,0
Patrick Cote,Stephen Thompson,-394.8764038,-26,-2,1,-4,-1,-3,-7,4,-11,15,-3,0,0
John Howard,Brian Ebersole,-11.16015625,-12,0,0,0,0,-2,-2,0,-2,2,2,1,0
Kiichi Kunimoto,Richard Walsh,725.5,1,0,-1,0,-1,-1,0,-1,1,-2,-8,0,2
Yoshihiro Akiyama,Amir Sadollah,170.5839844,12,1,0,0,1,5,0,5,-5,10,-5,0,2
Hyun Gyu Lim,Takenori Sato,-892.5,-7,0,-2,1,-2,-2,0,-2,2,-4,0,1,2
Igor Araujo,George Sullivan,0,-3,0,-1,0,-1,-1,0,-1,1,-2,0,0,0
Paulo Thiago,Sean Spencer,199.7241211,-17,0,-1,1,0,-3,-5,2,-7,9,-6,0,0
Mike Pyle,Jordan Mein,43.18432617,-20,0,1,-1,-3,-7,-3,-4,1,-5,-14,0,0
Neil Magny,Alex Garcia,-182.40625,-11,0,1,0,-1,-2,-2,0,-2,2,0,0,2
Tyron Woodley,Dong Hyun Kim,-4.364013672,24,0,1,0,2,7,1,6,-5,11,0,1,2
Sai Wang,Danny Mitchell,0,0,-1,0,0,0,0,0,0,0,0,0,-1,2
Robbie Lawler,Matt Brown,-434.0708313,9,-1,-2,0,4,4,1,3,-2,5,1,-1,2
Hernani Perpetuo,Tim Means,-52.125,10,0,2,-1,2,2,2,0,2,-2,1,0,0
Gunnar Nelson,Zak Cummings,163,-1,0,-1,0,-1,-1,0,-1,1,-2,4,-1,2
Rick Story,Leonardo Mafra,-190.5862427,-36,0,0,0,-6,-9,-5,-4,-1,-3,-4,-1,2
Kenny Robertson,Ildemar Alcantara,468.4375,1,0,2,-2,1,1,-2,3,-5,8,1,0,2
Kelvin Gastelum,Nicholas Musoke,-168,-3,-1,-1,0,-1,-1,0,-1,1,-2,6,-1,2
Chris Indich,Vik Grujic,0,0,0,0,0,0,0,0,0,0,0,10,-3,0
Robert Whittaker,Mike Rhodes,370.875,-7,-1,-2,1,-2,-2,-1,-1,0,-1,1,0,2
Rory MacDonald,Tyron Woodley,-476.21875,-15,0,0,0,-3,-4,-1,-3,2,-5,8,0,2
Daniel Sarafian,Kiichi Kunimoto,-533,-6,0,1,-1,0,0,-2,2,-4,6,2,0,0
Bobby Voelker,Lance Benoist,144,1,0,1,-3,1,1,-1,2,-3,5,-10,1,0
Paulo Thiago,Gasan Umalatov,441.1982422,-23,0,-1,1,-2,-5,-5,0,-5,5,-2,0,0
Robbie Lawler,Jake Ellenberger,-382.1376953,0,-1,-3,1,3,1,-1,2,-3,5,-3,-1,2
Neil Magny,Tim Means,-15.875,0,0,1,0,1,0,0,0,0,0,4,0,2
Matt Brown,Erick Silva,-16.88665771,-24,0,0,0,-5,-7,-2,-5,3,-8,-4,0,2
Yan Cabral,Zak Cummings,-641,-2,0,0,0,0,0,0,0,0,0,-1,1,0
Anthony Lapsley,Albert Tumenov,0,0,0,0,0,0,0,0,0,0,0,-12,-1,0
Thiago Alves,Seth Baczynski,-13.21276855,-22,-1,0,0,-3,-6,-3,-3,0,-3,2,0,2
Patrick Cote,Kyle Noke,-362.4090576,-23,-2,3,-4,-1,-2,-6,4,-10,14,0,1,2
Sam Stout,KJ Noons,8.480865479,-41,0,-1,1,-1,-8,-7,-1,-6,5,2,0,0
John Howard,Ryan LaFlare,17.1796875,-16,0,-1,0,-1,-3,-3,0,-3,3,-1,1,0
Thiago Perpetuo,Kenny Robertson,221.875,5,0,-1,2,0,0,2,-2,4,-6,4,0,0
Carlos Condit,Tyron Woodley,-633.9921875,-23,-2,1,-1,-4,-4,-2,-2,0,-2,2,0,0
Kelvin Gastelum,Rick Story,240.1724854,32,-1,-2,1,4,7,5,2,3,-1,7,0,2
Johny Hendricks,Robbie Lawler,-455.6665039,-9,-1,-1,0,-3,-3,1,-4,5,-9,1,0,2
Jake Shields,Hector Lombard,-764.15625,-15,-1,-1,1,-1,-2,-1,-1,0,-1,1,1,0
Sean Spencer,Alex Garcia,-815.25,-8,0,1,-1,-1,-1,-1,0,-1,1,0,0,0
Gunnar Nelson,Omari Akhmedov,-346,-3,0,-1,0,-1,-1,0,-1,1,-2,1,-2,2
Dong Hyun Kim,John Hathaway,269.3530273,-9,0,2,0,1,-2,-2,0,-2,2,-6,-1,2
Robert Whittaker,Stephen Thompson,-272.625,0,-1,-1,0,0,1,0,1,-1,2,8,0,0
Rory MacDonald,Demian Maia,207.7114716,23,1,4,0,0,6,3,3,0,3,12,1,2
Mike Pyle,TJ Waldburger,28.10302734,-11,0,1,-1,-2,-4,-1,-3,2,-5,-13,0,2
Viscardi Andrade,Nicholas Musoke,91,0,0,0,0,0,0,0,0,0,0,-2,0,0
William Macario,Bobby Voelker,29,3,-1,0,1,0,0,1,-1,2,-3,12,0,2
John Howard,Siyar Bahadurzada,-394.640625,-18,0,-3,0,-3,-4,-2,-2,0,-2,-1,0,2
Court McGee,Ryan LaFlare,9.34375,-14,-1,-1,0,-1,-3,-2,-1,-1,0,1,1,0
Josh Koscheck,Tyron Woodley,-73.89193821,-44,-1,-1,0,-4,-14,-6,-8,2,-10,-4,0,0
Georges St-Pierre,Johny Hendricks,-878.7553253,-39,-13,2,0,-5,-8,-1,-7,6,-13,-2,1,2
Brian Ebersole,Rick Story,-234.1550293,20,0,-4,1,2,4,4,0,4,-4,-3,0,0
Rory MacDonald,Robbie Lawler,-486.8242188,1,0,2,0,-2,0,2,-2,4,-6,7,1,0
Paulo Thiago,Brandon Thatch,-704.6035156,-24,0,0,0,-1,-4,-5,1,-6,7,-4,2,0
Neil Magny,Seth Baczynski,-53.9375,11,0,-1,1,3,3,2,1,1,0,6,0,0
Nate Marquardt,Hector Lombard,251.392334,-26,-1,-4,1,-3,-9,-3,-6,3,-9,1,1,0
TJ Waldburger,Adlan Amagov,440.53125,-8,0,0,0,-1,-3,-2,-1,-1,0,1,0,0
Rousimar Palhares,Mike Pierce,355.0839844,14,0,0,0,1,2,-1,3,-4,7,0,0,2
Erick Silva,Dong Hyun Kim,471.6064453,22,0,1,0,2,5,1,4,-3,7,2,1,0
Demian Maia,Jake Shields,259.5145569,-19,0,-4,0,-4,-9,-1,-8,7,-15,-1,-1,0
Chris Clements,Stephen Thompson,-72.75,1,0,0,0,0,1,0,1,-1,2,-7,0,0
Yuri Villefort,Sean Spencer,-167,0,0,0,0,0,0,0,0,0,0,4,0,0
Pascal Krauss,Hyun Gyu Lim,-360,-7,0,0,0,0,-1,-1,0,-1,1,2,0,0
Court McGee,Robert Whittaker,-110.8125,-11,0,-1,0,-1,-2,-2,0,-2,2,-6,0,2
Kelvin Gastelum,Brian Melancon,-601,-2,-1,0,0,0,0,0,0,0,0,10,-1,2
Carlos Condit,Martin Kampmann,-722.5658264,8,-2,4,-1,-1,6,2,4,-2,6,2,0,2
James Head,Jason High,67.25,-4,0,0,1,-2,-2,0,-2,2,-4,2,1,0
Matt Brown,Mike Pyle,107.5206299,-11,0,-1,1,-1,-2,-2,0,-2,2,5,0,2
Sergio Moraes,Neil Magny,55,-3,-1,1,-1,0,0,-1,1,-2,3,-5,0,2
Robbie Lawler,Bobby Voelker,615.8984375,-12,0,-3,1,-3,-5,-2,-3,1,-4,3,-1,2
Rory MacDonald,Jake Ellenberger,-244,9,0,-1,1,2,3,1,2,-1,3,4,0,2
Mike Pierce,David Mitchell,147.6367188,-22,0,-1,2,-2,-7,-1,-6,5,-11,1,0,2
Sean Pierson,Kenny Robertson,-458.125,-7,0,-1,2,-1,-2,0,-2,2,-4,-8,-1,2
Jake Shields,Tyron Woodley,-795.625,-14,-1,0,0,0,-1,-3,2,-5,7,-3,0,2
Erick Silva,Jason High,373.125,-3,0,-1,1,-1,-2,-1,-1,0,-1,3,1,2
Colton Smith,Robert Whittaker,0,0,0,0,0,0,0,0,0,0,0,-3,0,0
Mike Pyle,Rick Story,144.1645508,11,0,0,0,3,1,1,0,1,-1,-9,1,2
Stephen Thompson,Nah-Shon Burrell,323.5,-1,0,0,0,0,0,-1,1,-2,3,-7,0,2
Matt Brown,Jordan Mein,-251.4841309,-30,0,0,0,-3,-8,-5,-3,-2,-1,-9,0,2
Papy Abedi,Besam Yousef,213.5,0,0,0,-1,0,0,-1,1,-2,3,-6,-1,2
Jake Ellenberger,Nate Marquardt,80.71533203,11,1,4,-1,-2,3,2,1,1,0,6,0,2
Carlos Condit,Johny Hendricks,-889.2011719,0,-2,4,-1,0,4,-1,5,-6,11,1,1,0
Georges St-Pierre,Nick Diaz,-362.0111389,-26,-11,0,0,-7,-10,3,-13,16,-29,-2,1,2
Dong Hyun Kim,Siyar Bahadurzada,-599.0878906,-25,0,-1,0,-2,-6,-3,-3,0,-3,-3,-1,2
Court McGee,Josh Neer,-652.744751,16,-1,-3,1,-1,3,6,-3,9,-12,1,0,2
Josh Koscheck,Robbie Lawler,-515.5807514,-33,-1,1,0,-2,-11,-3,-8,5,-13,-5,1,0
Kenny Robertson,Brock Jardine,285.5,-2,0,0,-1,0,0,-1,1,-2,3,-2,0,2
Gunnar Nelson,Jorge Santiago,503.125,10,0,0,0,0,0,4,-4,8,-12,8,-2,2
Che Mills,Matthew Riddle,654.4257813,28,0,2,0,2,5,3,2,1,1,-3,1,1
Jon Fitch,Demian Maia,-366.380722,-13,0,-3,0,-3,-3,1,-4,5,-9,1,1,0
Mike Stumpf,Pascal Krauss,668,5,0,1,-1,1,1,0,1,-1,2,-1,-3,0
Simeon Thoresen,David Mitchell,547,3,0,-1,2,-1,-1,1,-2,3,-5,5,0,0
TJ Waldburger,Nick Catone,222.4375,7,0,0,0,0,0,1,-1,2,-3,7,1,2
Mike Pyle,James Head,419.4492188,-11,0,0,0,-1,-4,-2,-2,0,-2,-9,0,2
Mike Pierce,Seth Baczynski,-132.4765625,-17,0,-1,1,1,-3,-2,-1,-1,0,-1,0,2
BJ Penn,Rory MacDonald,-392.4271326,-52,-11,-2,0,0,-8,-8,0,-8,8,-10,0,0
Mike Swick,Matt Brown,149.4233398,3,0,-4,0,-2,-2,2,-4,6,-10,-2,0,0
Johny Hendricks,Martin Kampmann,13.30194092,11,0,0,0,0,3,3,0,3,-3,1,-1,2
Georges St-Pierre,Carlos Condit,-536.6189575,-37,-10,-2,1,-4,-11,-1,-10,9,-19,-3,0,2
Matthew Riddle,John Maguire,23.1484375,-21,0,-1,0,-1,-4,-3,-1,-2,1,3,0,2
Dong Hyun Kim,Paulo Thiago,68.23828125,-4,0,-1,0,-1,-2,1,-3,4,-7,1,-1,2
Demian Maia,Rick Story,415.5679932,-5,-1,-5,1,1,-3,-1,-2,1,-3,-6,0,2
Jon Fitch,Erick Silva,-304.2032166,-41,-1,-7,0,-7,-11,-2,-9,7,-16,-6,0,2
Josh Neer,Justin Edwards,525.239502,-20,0,0,0,-1,-5,-5,0,-5,5,0,0,0
Aaron Simpson,Mike Pierce,-14.16601563,0,0,-2,0,0,-1,0,-1,1,-2,-6,0,0
Jake Ellenberger,Jay Hieron,-107.5,-14,0,0,1,-6,-6,0,-6,6,-12,9,0,2
Che Mills,Duane Ludwig,101.0625,11,0,1,0,1,3,3,0,3,-3,4,0,2
Dan Hardy,Amir Sadollah,314.2265625,-1,0,-3,0,-2,1,-1,2,-3,5,2,0,2
